RunID,InstrumentID,RunDate,NumberOfCyclesR1,NumberofCyclesR2,FlowCellInDate?,PR2BottleInDate?,ReagentKitInDate?,%ReadsPassingFilter,%ReadsPassingFilterOutsideThreshold?,NumberofReadsPassingFilter,ReadCountWithinThreshold?,MeanClusterDensityPassingFilter,MeanClusterDensityWithinThreshold,COVClusterDensity,COVClusterDensityExceedsThreshold?,%MedianClusterDensityPassingFilter,GapBetweenClusterDensitiesPassingFilterAndNotExceedsThreshold?,ProportionOverQ30,IlluminaQ30Threshold,ProportionOverQ30ExceedsThreshold?,ProportionOverQ30Read1,ProportionOverQ30ExceedsThresholdRead1,ProportionOverQ30Read2,ProportionOverQ30ExceedsThresholdRead2,SlopeOfLineOfBestFitRead1,ThresholdSlopeR1,SlopeOfLineOfBestFitRead1ExceedsThreshold?,SlopeofLOBFR1_1,SlopeOfLOBFR1_2,R1_1overThresh?,R1_2overthresh,SlopeOfLineOfBestFitRead2,ThresholdSlopeR2,SlopeOfLineOfBestFitRead2ExceedsThreshold?,ProportionOfUndeterminedReads?,COVIndexes,COVIndexesExceedsThreshold?,OutlyingIndexes,OutlyingIndexes(Low),OutlyingIndexes(High),StateOfNTC
121009_M00766_0002_000000000-A1U6P,M00766,2012-10-09,151,151,in date,in date,in date,45.384985966,yes,3138050,low,341.3139464285714285714285714,low,0.3465333764490534174989496650,yes,0.000000,yes,0.875745692874,0.8,no,0.876424178722,no,0.875067207026,no,0.0,-0.00244969399453,no,0.0,0.0,no,no,0.0,-0.00254254101512,no,No index information for 121009_M00766_0002_000000000-A1U6P
130206_M00766_0002_000000000-A23JM,M00766,2013-02-06,250,250,in date,in date,in date,2.00760360074,yes,160923,low,10.2916911621093750000000000,very low,0.2642668678412795165394441445,yes,1.974131380911010026957385393,yes,0.276536877886,0.75,yes,0.0911876611796,yes,0.461886094592,yes,-0.00109646241414,-0.00320962730043,no,-0.00159178472554,-0.000668753390635,no,no,-0.00323507578755,-0.00468237387441,no,No index information for 130206_M00766_0002_000000000-A23JM
130405_M00766_0006_000000000-A3FNU,M00766,2013-04-05,251,251,Run analysis for 130405_M00766_0006_000000000-A3FNU incomplete
130417_M00766_0007_000000000-A3R1F,M00766,2013-04-17,151,151,in date,in date,in date,93.6874048525,no,14918743,low,773.0358950892857142857142857,low,0.02464368660628109054309512278,no,93.66733065999577973540677424,no,0.971215229768,0.8,no,0.980171475422,no,0.962258984114,no,-0.000138841395126,-0.00244969399453,no,-3.60559120307e-05,-0.000278015360475,no,no,-0.000257112359764,-0.00254254101512,no,No index information for 130417_M00766_0007_000000000-A3R1F
130508_M00766_0013_000000000-A3RB5,M00766,2013-05-08,151,151,in date,in date,in date,89.6950367269,no,17060727,low,897.2219910714285714285714286,OK,0.01305757367203775795502261611,no,89.61109665242596438691974863,no,0.923407887814,0.8,no,0.949816208095,no,0.897852845589,no,-0.000604642890323,-0.00244969399453,no,-0.000161599617131,-0.00130212120905,no,no,-0.000965708959225,-0.00254254101512,no,High,0.155823020314,yes,no outlying indexes, , ,No NTC on run
130510_M00766_0014_000000000-A3PFJ,M00766,2013-05-10,156,151,in date,in date,in date,88.5142108845,no,18378480,low,995.2515267857142857142857143,OK,0.01348374683646668717077233568,no,88.66105938477342402594735262,no,0.952485508425,0.75,no,0.968671701555,no,0.935017754425,no,-0.000202901793655,-0.00257763651291,no,0.000119314826407,-0.00047429408594,no,no,-0.000471376326885,-0.00254254101512,no,OK,0.516661180734,yes,no outlying indexes, , ,No NTC on run
130613_M00766_0018_000000000-A4FN3,M00766,2013-06-13,251,251,in date,in date,in date,62.2348676226,yes,14759376,low,877.4421428571428571428571429,very high,0.005254807572963457088250735532,no,61.64863450714623844701873938,yes,0.682985265365,0.75,yes,0.765602990694,no,0.584733190612,yes,-0.00206291204746,-0.003193154317,no,-0.000764545727048,-0.00357899147946,no,yes,-0.00330124167763,-0.00468449750007,no,OK,0.149999023907,yes,no outlying indexes, , ,No NTC on run
130618_M00766_0019_000000000-A4FEU,M00766,2013-06-18,251,251,in date,in date,in date,93.7029793662,no,10147864,low,556.7555357142857142857142857,very low,0.009213986265598488457965446469,no,93.92568803612893489204865907,no,0.795454516815,0.75,no,0.903828376319,no,0.6802443544,yes,-0.00108250206145,-0.003193154317,no,-0.00038241177329,-0.00193958847871,no,no,-0.00377126503245,-0.00468449750007,no,High,0.196901615605,yes,no outlying indexes, , ,No NTC on run
130624_M00766_0021_000000000-A53PT,M00766,2013-06-24,251,251,in date,in date,in date,88.7381481461,no,17725761,low,940.8335446428571428571428571,OK,0.01162857200832836743679185036,no,89.00165957362557793985654269,no,0.847358388945,0.75,no,0.902745668305,no,0.78576044597,no,-0.000955397390957,-0.003193154317,no,-0.000261221882282,-0.00178552041228,no,no,-0.0019888971165,-0.00468449750007,no,OK,0.0482204996302,no,no outlying indexes, , ,No NTC on run
130708_M00766_0023_000000000-A20R8,M00766,2013-07-08,151,151,out of date,in date,out of date,90.9082233765,no,8144995,None,872.0913482142857142857142857,None,0.01545541891101167059285265735,no,90.77572192829966213284090947,no,0.865890366989,0.85,no,0.917985818366,no,0.810466732447,yes,-0.00135710155483,-0.00244969399453,no,-0.000710757676721,-0.00227789742702,no,no,-0.00309582493459,-0.00254254101512,yes,OK,0.106613318042,yes,no outlying indexes, , ,No NTC on run
130712_M00766_0024_000000000-A5AVV,M00766,2013-07-12,151,151,in date,in date,in date,82.4400774053,no,13180142,low,710.2953705357142857142857143,low,0.09421955744246035202858575924,yes,82.13078737004196041611041408,no,0.921946423872,0.8,no,0.923771405849,no,0.922916778291,no,-0.000592318201933,-0.00244969399453,no,-0.000162023465598,-0.00117312152438,no,no,-0.000621408680708,-0.00254254101512,no,High,0.208310847074,yes,no outlying indexes, , ,No NTC on run
130817_M00766_0037_000000000-A4EDD,M00766,2013-08-17,176,176,in date,in date,in date,93.6130343296,no,14493580,low,748.77209375000000000000000,low,0.02010093902234762272105767072,no,93.61274473632548534278205586,no,0.948965098948,0.75,no,0.963118087143,no,0.9338815813,no,-0.000394731493588,-0.00307336431531,no,-0.000200870750726,-0.000543707193604,no,no,-0.000601701407169,-0.00331592139888,no,OK,0.437100985848,yes,['50005-d' '60003-d' '112001-f' '50005-f'],['50005-d' '50005-f'],['60003-d' '112001-f'],No NTC on run
